folder,model,file,path,precision,recall,f1,loose_precision,loose_recall,loose_f1,unlabeled_precision,unlabeled_recall,unlabeled_f1
gender_names,mono,female_names_test_0_results_mono.iob2,../predictions\gender_names\mono\female_names_test_0_results_mono.iob2,0.6862075166336989,0.6756373937677054,0.6808814345615131,0.8678295270634778,0.8590651558073654,0.6808814345615131,0.7255889228556015,0.7144121813031161,0.6808814345615131
gender_names,mono,female_names_test_1_results_mono.iob2,../predictions\gender_names\mono\female_names_test_1_results_mono.iob2,0.6877584037389898,0.6774079320113314,0.6825439300686825,0.8698543951105518,0.8610127478753541,0.6825439300686825,0.7249685421535143,0.7140580736543909,0.6825439300686825
gender_names,mono,female_names_test_2_results_mono.iob2,../predictions\gender_names\mono\female_names_test_2_results_mono.iob2,0.6854013287843419,0.675814447592068,0.6805741285548721,0.8669420003591309,0.8590651558073654,0.6805741285548721,0.7256239899443347,0.7154745042492918,0.6805741285548721
gender_names,mono,female_names_test_3_results_mono.iob2,../predictions\gender_names\mono\female_names_test_3_results_mono.iob2,0.6864330637915543,0.6763456090651558,0.6813520021403728,0.8682839173405211,0.8599504249291785,0.6813520021403728,0.7245283018867924,0.7138810198300283,0.6813520021403728
gender_names,mono,female_names_test_4_results_mono.iob2,../predictions\gender_names\mono\female_names_test_4_results_mono.iob2,0.6848158131176999,0.6747521246458924,0.6797467225541782,0.8675651392632525,0.8588881019830028,0.6797467225541782,0.7238095238095238,0.7131728045325779,0.6797467225541782
gender_names,mono,female_names_test_5_results_mono.iob2,../predictions\gender_names\mono\female_names_test_5_results_mono.iob2,0.6848060344827587,0.6751062322946175,0.6799215406562054,0.866558908045977,0.8590651558073654,0.6799215406562054,0.7252155172413793,0.714943342776204,0.6799215406562054
gender_names,mono,female_names_test_6_results_mono.iob2,../predictions\gender_names\mono\female_names_test_6_results_mono.iob2,0.6853649766271126,0.6749291784702549,0.680107047279215,0.8671341244156778,0.8585339943342776,0.680107047279215,0.7252786767349874,0.7142351274787535,0.680107047279215
gender_names,mono,female_names_test_7_results_mono.iob2,../predictions\gender_names\mono\female_names_test_7_results_mono.iob2,0.6848626324295206,0.6752832861189801,0.6800392261745565,0.867121565810738,0.8595963172804533,0.6800392261745565,0.7243670317830849,0.7142351274787535,0.6800392261745565
gender_names,mono,female_names_test_8_results_mono.iob2,../predictions\gender_names\mono\female_names_test_8_results_mono.iob2,0.6860172537742631,0.675814447592068,0.6808776311095255,0.8677210639827462,0.8594192634560907,0.6808776311095255,0.7253774263120057,0.7145892351274787,0.6808776311095255
gender_names,mono,female_names_test_9_results_mono.iob2,../predictions\gender_names\mono\female_names_test_9_results_mono.iob2,0.6852317642831477,0.6752832861189801,0.6802211521312646,0.8672296083363277,0.8588881019830028,0.6802211521312646,0.7249371182177506,0.7144121813031161,0.6802211521312646
gender_names,mono,male_names_test_0_results_mono.iob2,../predictions\gender_names\mono\male_names_test_0_results_mono.iob2,0.6869612068965517,0.6772308781869688,0.682061340941512,0.8694324712643678,0.8618980169971672,0.682061340941512,0.7244971264367817,0.7142351274787535,0.682061340941512
gender_names,mono,male_names_test_1_results_mono.iob2,../predictions\gender_names\mono\male_names_test_1_results_mono.iob2,0.6872420599318141,0.6781161473087819,0.6826486052936459,0.8706262336264131,0.8631373937677054,0.6826486052936459,0.7238471200430647,0.7142351274787535,0.6826486052936459
gender_names,mono,male_names_test_2_results_mono.iob2,../predictions\gender_names\mono\male_names_test_2_results_mono.iob2,0.6861654405167773,0.6770538243626062,0.681579181891097,0.8690113045038579,0.8615439093484419,0.681579181891097,0.7231293737663735,0.7135269121813032,0.681579181891097
gender_names,mono,male_names_test_3_results_mono.iob2,../predictions\gender_names\mono\male_names_test_3_results_mono.iob2,0.6874438656367882,0.677584985835694,0.6824788230049041,0.8704867971977726,0.8631373937677054,0.6824788230049041,0.7249865277528291,0.7145892351274787,0.6824788230049041
gender_names,mono,male_names_test_4_results_mono.iob2,../predictions\gender_names\mono\male_names_test_4_results_mono.iob2,0.687646106815321,0.6770538243626062,0.6823088589526274,0.8707067074267218,0.8620750708215298,0.6823088589526274,0.724509980219385,0.7133498583569405,0.6823088589526274
gender_names,mono,male_names_test_5_results_mono.iob2,../predictions\gender_names\mono\male_names_test_5_results_mono.iob2,0.6877136175571146,0.6768767705382436,0.68225216382618,0.8704803022126282,0.8615439093484419,0.68225216382618,0.7244108652635366,0.7129957507082153,0.68225216382618
gender_names,mono,male_names_test_6_results_mono.iob2,../predictions\gender_names\mono\male_names_test_6_results_mono.iob2,0.6877584037389898,0.6774079320113314,0.6825439300686825,0.8703936724788783,0.8618980169971672,0.6825439300686825,0.7244292647851879,0.7135269121813032,0.6825439300686825
gender_names,mono,male_names_test_7_results_mono.iob2,../predictions\gender_names\mono\male_names_test_7_results_mono.iob2,0.687196983300413,0.677584985835694,0.6823571364892573,0.8705333093912732,0.8618980169971672,0.6823571364892573,0.7232896390734422,0.7131728045325779,0.6823571364892573
gender_names,mono,male_names_test_8_results_mono.iob2,../predictions\gender_names\mono\male_names_test_8_results_mono.iob2,0.6871066354972127,0.6765226628895185,0.6817735748059595,0.8707067074267218,0.8622521246458924,0.6817735748059595,0.7243301564466823,0.7131728045325779,0.6817735748059595
gender_names,mono,male_names_test_9_results_mono.iob2,../predictions\gender_names\mono\male_names_test_9_results_mono.iob2,0.6874887811882965,0.6781161473087819,0.6827703003832784,0.8696822832525579,0.8626062322946175,0.6827703003832784,0.7250044875246814,0.7151203966005666,0.6827703003832784
gender_names,multi,female_names_test_0_results_multi.iob2,../predictions\gender_names\multi\female_names_test_0_results_multi.iob2,0.6778413736713,0.5871104815864022,0.6292220113851992,0.8828699918233851,0.7627478753541076,0.6292220113851992,0.7154538021259199,0.6196883852691218,0.6292220113851992
gender_names,multi,female_names_test_1_results_multi.iob2,../predictions\gender_names\multi\female_names_test_1_results_multi.iob2,0.6784841075794621,0.5895892351274787,0.6309208033345964,0.8816218418907905,0.7639872521246459,0.6309208033345964,0.7157701711491442,0.6219900849858357,0.6309208033345964
gender_names,multi,female_names_test_2_results_multi.iob2,../predictions\gender_names\multi\female_names_test_2_results_multi.iob2,0.675157937640106,0.5865793201133145,0.6277593557555662,0.8787446504992867,0.7608002832861189,0.6277593557555662,0.7148970857958019,0.6211048158640227,0.6277593557555662
gender_names,multi,female_names_test_3_results_multi.iob2,../predictions\gender_names\multi\female_names_test_3_results_multi.iob2,0.6786878565607172,0.5897662889518414,0.6311102690413035,0.8818255908720456,0.7632790368271954,0.6311102690413035,0.715362673186634,0.6216359773371105,0.6311102690413035
gender_names,multi,female_names_test_4_results_multi.iob2,../predictions\gender_names\multi\female_names_test_4_results_multi.iob2,0.672645739910314,0.5842776203966006,0.6253553155201819,0.8764777823073787,0.7579674220963173,0.6253553155201819,0.7154504688136976,0.6214589235127479,0.6253553155201819
gender_names,multi,female_names_test_5_results_multi.iob2,../predictions\gender_names\multi\female_names_test_5_results_multi.iob2,0.6756261453879047,0.5874645892351275,0.6284686049815322,0.8786397882305029,0.7600920679886686,0.6284686049815322,0.7151293015679088,0.6218130311614731,0.6284686049815322
