,folder,model,modified_ner,sub_categories,file,path,precision,recall,f1,loose_precision,loose_recall,loose_f1,unlabeled_precision,unlabeled_recall,unlabeled_f1
0,gender_names,mono,PER,female,female_names_test_0_results_mono.iob2,../predictions\gender_names\mono\female_names_test_0_results_mono.iob2,0.6904761904761905,0.6635745207173779,0.6767581204667297,0.9465894465894465,0.9146567717996289,0.9303491809766701,0.7255889228556015,0.7144121813031161,0.7199571772682665
1,gender_names,mono,PER,female,female_names_test_1_results_mono.iob2,../predictions\gender_names\mono\female_names_test_1_results_mono.iob2,0.6920614596670934,0.66852195423624,0.6800880780119534,0.9481434058898848,0.9208410636982065,0.9342928169012593,0.7249685421535143,0.7140580736543909,0.7194719471947194
2,gender_names,mono,PER,female,female_names_test_2_results_mono.iob2,../predictions\gender_names\mono\female_names_test_2_results_mono.iob2,0.6912144702842378,0.6617192331478046,0.6761453396524487,0.9489664082687338,0.9134199134199135,0.9308539312007953,0.7256239899443347,0.7154745042492918,0.7205135062851029
3,gender_names,mono,PER,female,female_names_test_3_results_mono.iob2,../predictions\gender_names\mono\female_names_test_3_results_mono.iob2,0.6891025641025641,0.6648113790970934,0.6767390620081839,0.9474358974358974,0.9189857761286333,0.9329940022336041,0.7245283018867924,0.7138810198300283,0.7191652546151787
4,gender_names,mono,PER,female,female_names_test_4_results_mono.iob2,../predictions\gender_names\mono\female_names_test_4_results_mono.iob2,0.6874197689345315,0.6623376623376623,0.6746456692913386,0.9473684210526315,0.9165120593692022,0.9316848281642915,0.7238095238095238,0.7131728045325779,0.7184517970213145
5,gender_names,mono,PER,female,female_names_test_5_results_mono.iob2,../predictions\gender_names\mono\female_names_test_5_results_mono.iob2,0.6883870967741935,0.6598639455782312,0.6738238080202084,0.947741935483871,0.9140383426097711,0.930585072926509,0.7252155172413793,0.714943342776204,0.7200427960057063
6,gender_names,mono,PER,female,female_names_test_6_results_mono.iob2,../predictions\gender_names\mono\female_names_test_6_results_mono.iob2,0.6910621761658031,0.6598639455782312,0.6751028155646948,0.9488341968911918,0.9121830550401979,0.9301477195319723,0.7252786767349874,0.7142351274787535,0.7197145405887602
7,gender_names,mono,PER,female,female_names_test_7_results_mono.iob2,../predictions\gender_names\mono\female_names_test_7_results_mono.iob2,0.6885456885456885,0.6617192331478046,0.6748659728792178,0.9485199485199485,0.91713048855906,0.932561155621539,0.7243670317830849,0.7142351274787535,0.7192654007310333
8,gender_names,mono,PER,female,female_names_test_8_results_mono.iob2,../predictions\gender_names\mono\female_names_test_8_results_mono.iob2,0.6918117343649258,0.6635745207173779,0.6773989898989898,0.9490651192778853,0.9165120593692022,0.932504574885131,0.7253774263120057,0.7145892351274787,0.7199429183018193
9,gender_names,mono,PER,female,female_names_test_9_results_mono.iob2,../predictions\gender_names\mono\female_names_test_9_results_mono.iob2,0.6912144702842378,0.6617192331478046,0.6761453396524487,0.9496124031007752,0.9134199134199135,0.9311646087199301,0.7249371182177506,0.7144121813031161,0.7196361690743713
10,gender_names,mono,PER,male,male_names_test_0_results_mono.iob2,../predictions\gender_names\mono\male_names_test_0_results_mono.iob2,0.6896112173358827,0.6691403834260977,0.6792215944758317,0.947100063734863,0.9251700680272109,0.936006632300973,0.7244971264367817,0.7142351274787535,0.7193295292439373
11,gender_names,mono,PER,male,male_names_test_1_results_mono.iob2,../predictions\gender_names\mono\male_names_test_1_results_mono.iob2,0.6875792141951838,0.670995670995671,0.6791862284820032,0.9480354879594424,0.9282622139764997,0.9380446611148361,0.7238471200430647,0.7142351274787535,0.7190090009803048
12,gender_names,mono,PER,male,male_names_test_2_results_mono.iob2,../predictions\gender_names\mono\male_names_test_2_results_mono.iob2,0.688295165394402,0.6691403834260977,0.678582627783004,0.9472010178117048,0.9251700680272109,0.9360559311261339,0.7231293737663735,0.7135269121813032,0.7182960520452721
13,gender_names,mono,PER,male,male_names_test_3_results_mono.iob2,../predictions\gender_names\mono\male_names_test_3_results_mono.iob2,0.6883365200764818,0.6679035250463822,0.6779661016949152,0.9483747609942639,0.9276437847866419,0.9378947288803504,0.7249865277528291,0.7145892351274787,0.7197503343736067
14,gender_names,mono,PER,male,male_names_test_4_results_mono.iob2,../predictions\gender_names\mono\male_names_test_4_results_mono.iob2,0.6880967536600892,0.66852195423624,0.6781681304893349,0.9471674092934437,0.9257884972170687,0.9363559381346704,0.724509980219385,0.7133498583569405,0.718886608974931
15,gender_names,mono,PER,male,male_names_test_5_results_mono.iob2,../predictions\gender_names\mono\male_names_test_5_results_mono.iob2,0.6880967536600892,0.66852195423624,0.6781681304893349,0.9471674092934437,0.9264069264069265,0.9366721476875288,0.7244108652635366,0.7129957507082153,0.7186579816186311
